============================================================
  ADS-B RECEIVER STATISTICS
============================================================
  Data points   : 362,666
  Unique aircraft: 760
  Date range    : 2025-11-20 to 2026-02-06
  Days of data  : 79
  Flight sessions: 8,432

------------------------------------------------------------
  TOP 760 — TIME IN AIRSPACE (cumulative observed time)
------------------------------------------------------------
  432. N734DJ                  30s   (1 sessions)
  433. N910GE                  30s   (1 sessions)
  434. EJA956                  30s   (1 sessions)
  435. N487ER                  30s   (1 sessions)
  436. EJA637                  30s   (1 sessions)
  437. N724FS                  30s   (1 sessions)
  438. N246SJ                  30s   (2 sessions)
  439. QHD681                  30s   (1 sessions)
  440. LXJ465                  30s   (1 sessions)
  441. JTZ765                  30s   (1 sessions)
  442. PCH604                  30s   (1 sessions)
  443. N567JW                  30s   (1 sessions)
  444. N8DZ                    30s   (2 sessions)
  445. N480RL                  30s   (1 sessions)
  446. CAP584                  29s   (1 sessions)
  447. N70RF                   29s   (1 sessions)
  448. N247ER                  29s   (1 sessions)
  449. N92TX                   29s   (1 sessions)
  450. N710                    29s   (1 sessions)
  451. XSR340                  29s   (2 sessions)
  452. N883SC                  29s   (1 sessions)
  453. N612NG                  29s   (1 sessions)
  454. N6112G                  29s   (1 sessions)
  455. N47RM                   29s   (1 sessions)
  456. EJM960                  29s   (2 sessions)
  457. EJA612                  29s   (1 sessions)
  458. JAS302                  28s   (1 sessions)
  459. N275AM                  28s   (2 sessions)
  460. N141QS                  28s   (1 sessions)
  461. CXK329                  28s   (1 sessions)
  462. EJA345                  28s   (1 sessions)
  463. EJA325                  28s   (1 sessions)
  464. EJA874                  28s   (1 sessions)
  465. N577XW                  28s   (2 sessions)
  466. EJA485                  28s   (1 sessions)
  467. EJA278                  28s   (1 sessions)
  468. EJA436                  28s   (1 sessions)
  469. EJA273                  28s   (1 sessions)
  470. N1WG                    28s   (1 sessions)
  471. N7NE                    28s   (1 sessions)
  472. ASP816                  28s   (1 sessions)
  473. TIV70                   28s   (1 sessions)
  474. N888PA                  28s   (1 sessions)
  475. JTL717                  28s   (1 sessions)
  476. N375DB                  28s   (2 sessions)
  477. EJA680                  28s   (1 sessions)
  478. N44941                  27s   (2 sessions)
  479. N382TS                  27s   (1 sessions)
  480. N909XX                  27s   (3 sessions)
  481. N4741X                  27s   (1 sessions)
  482. SDE755                  27s   (1 sessions)
  483. N580RM                  27s   (1 sessions)
  484. 1200                    27s   (1 sessions)
  485. N58219                  27s   (1 sessions)
